Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
1981,LIV,Liverpool FC,4,England,Big 5,1980,1,Liverpool,1533860,50484,United Kingdom,UK,32
1981,RMA,Real Madrid CF,3,Spain,Big 5,1980,1,Madrid,6791667,342534,Spain,ES,50
1981,BMN,FC Bayern,2,Germany,Big 5,1980,0,München,2883373,241407,Germany,DE,83
1981,INT,FC Inter Milan,2,Italy,Big 5,1980,1,Milano,5145657,301366,Italy,IT,58
1981,BEL,Red Star,1,Serbia,East,1980,0,Belgrade,1281802,90871,Serbia,RS,70
1981,SPA,Spartak Moscow,1,Russia,East,1980,0,Moscow,12506468,284400,Russia,3,22
1981,OST,Baník Ostrava,1,Czechia,East,1980,0,Ostrava,719777,22067,Czechia,CZ,30
1981,SOF,CSKA Sofia,1,Bulgaria,East,1980,0,Sofia,1269384,15170,Bulgaria,BG,11
1982,AST,Aston Villa FC,4,England,Big 5,1980,0,Birmingham,3097965,112240,United Kingdom,UK,36
1982,BMN,FC Bayern,3,Germany,Big 5,1980,0,München,2883373,241407,Germany,DE,83
1982,SOF,CSKA Sofia,2,Bulgaria,East,1980,0,Sofia,1269384,15170,Bulgaria,BG,11
1982,AND,RSC Anderlecht,2,Belgium,Small,1980,0,Bruxelles / Brussel,2659855,198355,Belgium,BE,74
1982,CRA,Universitatea Craiova,1,Romania,East,1980,0,Craiova,766,215408,Romania,RO,281211
1982,LIV,Liverpool FC,1,England,Big 5,1980,1,Liverpool,1533860,50484,United Kingdom,UK,32
1982,BEL,Red Star,1,Serbia,East,1980,0,Belgrade,1281802,16970,Serbia,RS,13
1982,KYV,FC Dynamo Kyiv,1,Ukraine,East,1980,0,Kyiv,2884000,8056,Ukraine,UA,2
1983,HAM,Hamburg,4,Germany,Big 5,1980,0,Hamburg,1110442,66122,Germany,DE,59
1983,JUV,Juventus FC,3,Italy,Big 5,1980,1,Torino,1760085,76575,Italy,IT,43
1983,RSO,Real Sociedad,2,Spain,Big 5,1980,0,Guipúzcoa,339093,21322,Spain,ES,62
1983,WID,Widzew Łódź,2,Poland,East,1980,0,Łódź,907154,31322,Poland,PL,34
1983,LIV,Liverpool FC,1,England,Big 5,1980,1,Liverpool,1533860,50484,United Kingdom,UK,32
1983,AST,Aston Villa FC,1,England,Big 5,1980,0,Birmingham,3097965,112240,United Kingdom,UK,36
1983,KYV,FC Dynamo Kyiv,1,Russia,East,1980,0,Kyiv,2884000,8056,Russia,3,2
1983,SPO,Sporting Portugal,1,Portugal,Small,1980,0,Lisbon,2976356,122547,Portugal,PT,41
1984,LIV,Liverpool FC,4,England,Big 5,1980,1,Liverpool,1533860,50484,United Kingdom,UK,32
1984,ROM,AS Roma,3,Italy,Big 5,1980,0,Roma,4429025,215715,Italy,IT,48
1984,BUC,Dinamo Bucaresti,2,Romania,East,1980,0,Bucuresti,2400000,53900,Romania,RO,22
1984,DUN,Dundee United,2,Scotland,Small,1980,0,Dundee,148820,2677,Scotland,UK,17
1984,VER,Dynamo Berlin,1,Germany,East,1980,0,Berlin,5259363,238308,Germany,DE,45
1984,RVI,Rapid Viena,1,Austria,Small,1980,0,Wien,2967197,162868,Austria,AT,54
1984,MIN,Dinamo Minsk,1,Bielorrusia,East,1980,0,Minsk,2101018,36905,Belarus,BY,17
1984,BEN,SL Benfica,1,Portugal,Small,1980,0,Lisbon,2976356,122547,Portugal,PT,41
1985,JUV,Juventus FC,4,Italy,Big 5,1980,1,Torino,1760085,76575,Italy,IT,43
1985,LIV,Liverpool FC,3,England,Big 5,1980,1,Liverpool,1533860,50484,United Kingdom,UK,32
1985,GIR,FC Girondins Bordeaux,2,France,Big 5,1980,0,Bordeaux,1262357,52617,France,FR,41
1985,PAN,Panathinakos FC,2,Greece,Small,1980,0,Athina,3541591,134254,Greece,EL,37
1985,PRA,Sparta Praga,1,Czechia,East,1980,0,Praha,2216038,131755,Czechia,CZ,59
1985,DNI,FC Dniprò Dnipropetrovsk,1,Ukraine,East,1980,0,Dnipropetrovsk,966400,7644,Ukraine,UA,7
1985,VIE,Austria Viena,1,Austria,Small,1980,0,Wien,2967197,162868,Austria,AT,54
1985,IFK,IFK Goteborg,1,Sweden,Small,1980,0,Goteborg,1021831,51286,Sweden,SE,50
1986,STE,Steaua Bucaresti,4,Romania,East,1980,0,Bucuresti,2400000,90871,Romania,RO,37
1986,FCB,FC Barcelona,3,Spain,Big 5,1980,1,Barcelona,4985549,218318,Spain,ES,43
1986,IFK,IFK Goteborg,2,Sweden,Small,1980,0,Goteborg,1021831,51286,Sweden,SE,50
1986,AND,RSC Anderlecht,2,Belgium,Small,1980,0,Bruxelles / Brussel,2659855,198355,Belgium,BE,74
1986,BMN,FC Bayern,1,Germany,Big 5,1980,0,München,2883373,241407,Germany,DE,83
1986,JUV,Juventus FC,1,Italy,Big 5,1980,1,Torino,1760085,76575,Italy,IT,43
1986,ABE,Aberdeen,1,Scotland,Small,1980,0,Aberdeen,207932,3346,Scotland,UK,16
1986,KUU,FC Kuusysi,1,Finland,Small,1980,0,Lahti,120112,4381,Finland,FI,36
1987,POR,FC Porto,4,Portugal,Small,1980,0,Porto,1272189,38974,Portugal,PT,30
1987,BMN,FC Bayern,3,Germany,Big 5,1980,0,München,2883373,241407,Germany,DE,83
